# Generated by tools/build_varcon.py — do not edit by hand.
# One cluster per line: interchangeable spellings of one word, American form first.
afterward	afterwards
airplane	aeroplane
aluminum	aluminium
amid	amidst
among	amongst
analog	analogue
analogs	analogues
analyze	analyse
analyzed	analysed
analyzing	analysing
anemia	anaemia
anemic	anaemic
anesthesia	anaesthesia
anesthetic	anaesthetic
apologize	apologise
apologized	apologised
apologizes	apologises
apologizing	apologising
archeology	archaeology
armor	armour
armored	armoured
armorer	armourer
armorers	armourers
armoring	armouring
armors	armours
ax	axe
backward	backwards
burned	burnt
caliber	calibre
calibers	calibres
canceled	cancelled
canceler	canceller
cancelers	cancellers
canceling	cancelling
candor	candour
catalog	catalogue
catalogs	catalogues
catalyze	catalyse
catalyzed	catalysed
catalyzing	catalysing
categorization	categorisation
categorizations	categorisations
categorize	categorise
categorized	categorised
categorizes	categorises
categorizing	categorising
center	centre
centers	centres
channeled	channelled
channeling	channelling
characterization	characterisation
characterizations	characterisations
characterize	characterise
characterized	characterised
characterizes	characterises
characterizing	characterising
chiseled	chiselled
chiseler	chiseller
chiselers	chisellers
chiseling	chiselling
civilization	civilisation
civilizations	civilisations
civilize	civilise
civilized	civilised
civilizes	civilises
civilizing	civilising
clamor	clamour
clamored	clamoured
clamoring	clamouring
clamors	clamours
colonization	colonisation
colonize	colonise
colonized	colonised
colonizer	coloniser
colonizers	colonisers
colonizes	colonises
colonizing	colonising
color	colour
coloration	colouration
colored	coloured
colorful	colourful
coloring	colouring
colorless	colourless
colors	colours
counseled	counselled
counseling	counselling
counselor	counsellor
counselors	counsellors
cozier	cosier
cozy	cosy
criticize	criticise
criticized	criticised
criticizer	criticiser
criticizers	criticisers
criticizes	criticises
criticizing	criticising
defense	defence
defenses	defences
demeanor	demeanour
dialed	dialled
dialing	dialling
dialog	dialogue
diarrhea	diarrhoea
donut	doughnut
donuts	doughnuts
downward	downwards
dramatization	dramatisation
dramatizations	dramatisations
dramatize	dramatise
dramatized	dramatised
dramatizes	dramatises
dramatizing	dramatising
dreamed	dreamt
economize	economise
economized	economised
economizer	economiser
economizers	economisers
economizes	economises
economizing	economising
emphasize	emphasise
emphasized	emphasised
emphasizes	emphasises
emphasizing	emphasising
encyclopedia	encyclopaedia
endeavor	endeavour
endeavored	endeavoured
endeavoring	endeavouring
endeavors	endeavours
energize	energise
energized	energised
energizer	energiser
energizers	energisers
energizes	energises
energizing	energising
esophagus	oesophagus
estrogen	oestrogen
favor	favour
favorable	favourable
favored	favoured
favoring	favouring
favorite	favourite
favors	favours
fecal	faecal
feces	faeces
fertilization	fertilisation
fertilize	fertilise
fertilized	fertilised
fertilizer	fertiliser
fertilizers	fertilisers
fertilizes	fertilises
fertilizing	fertilising
fervor	fervour
fetal	foetal
fetus	foetus
fiber	fibre
fibers	fibres
flavor	flavour
flavored	flavoured
flavorful	flavourful
flavoring	flavouring
flavorless	flavourless
flavors	flavours
forward	forwards
fueled	fuelled
fueling	fuelling
funneled	funnelled
funneling	funnelling
generalization	generalisation
generalizations	generalisations
generalize	generalise
generalized	generalised
generalizes	generalises
generalizing	generalising
graveled	gravelled
graveling	gravelling
gray	grey
grayed	greyed
graying	greying
grayish	greyish
grays	greys
groveled	grovelled
groveler	groveller
grovelers	grovellers
groveling	grovelling
gynecology	gynaecology
harbor	harbour
harbored	harboured
harboring	harbouring
harbors	harbours
harmonization	harmonisation
harmonize	harmonise
harmonized	harmonised
harmonizer	harmoniser
harmonizers	harmonisers
harmonizes	harmonises
harmonizing	harmonising
hemorrhage	haemorrhage
honor	honour
honorable	honourable
honored	honoured
honorer	honourer
honorers	honourers
honoring	honouring
honors	honours
hospitalization	hospitalisation
hospitalizations	hospitalisations
hospitalize	hospitalise
hospitalized	hospitalised
hospitalizes	hospitalises
hospitalizing	hospitalising
hypnotize	hypnotise
hypnotized	hypnotised
hypnotizes	hypnotises
hypnotizing	hypnotising
idealization	idealisation
idealizations	idealisations
idealize	idealise
idealized	idealised
idealizes	idealises
idealizing	idealising
immunization	immunisation
immunizations	immunisations
immunize	immunise
immunized	immunised
immunizes	immunises
immunizing	immunising
industrialization	industrialisation
industrialize	industrialise
industrialized	industrialised
industrializes	industrialises
industrializing	industrialising
inward	inwards
jail	gaol
jeweled	jewelled
jeweler	jeweller
jewelers	jewellers
jeweling	jewelling
jewelry	jewellery
labeled	labelled
labeling	labelling
labor	labour
labored	laboured
laborer	labourer
laborers	labourers
laboring	labouring
labors	labours
leaned	leant
leaped	leapt
learned	learnt
legalization	legalisation
legalize	legalise
legalized	legalised
legalizes	legalises
legalizing	legalising
leukemia	leukaemia
leveled	levelled
leveler	leveller
levelers	levellers
leveling	levelling
liberalization	liberalisation
liberalizations	liberalisations
liberalize	liberalise
liberalized	liberalised
liberalizes	liberalises
liberalizing	liberalising
liter	litre
liters	litres
luster	lustre
maneuver	manoeuvre
maneuvers	manoeuvres
marveled	marvelled
marveling	marvelling
maximization	maximisation
maximize	maximise
maximized	maximised
maximizes	maximises
maximizing	maximising
meager	meagre
medieval	mediaeval
memorization	memorisation
memorize	memorise
memorized	memorised
memorizes	memorises
memorizing	memorising
minimization	minimisation
minimize	minimise
minimized	minimised
minimizes	minimises
minimizing	minimising
mobilization	mobilisation
mobilizations	mobilisations
mobilize	mobilise
mobilized	mobilised
mobilizer	mobiliser
mobilizers	mobilisers
mobilizes	mobilises
mobilizing	mobilising
modeled	modelled
modeler	modeller
modelers	modellers
modeling	modelling
modernization	modernisation
modernize	modernise
modernized	modernised
modernizer	moderniser
modernizers	modernisers
modernizes	modernises
modernizing	modernising
mold	mould
molded	moulded
molds	moulds
molt	moult
mustache	moustache
nationalization	nationalisation
